Chip	Details	Core	Errata ID	Module	Criticality	Workaround	Revisions Impacted	Failure	Fix Status	Masks Affected	Manufacturer
STR91xFA	Description of limitation Status register bit 7 (ready bit) does not reflect the correct status when it is read immediately after the CPU issues a Flash memory program or erase command. 	ARM9				 This requires bit 18 (instruction TCM order bit) in the configuration control register of the ARM966E-S core to be set. This can be done by the following assembler code: MOV R0, #0x40000 MCR P15,0x1,R0,C15,C1,0 When set, the write and read to the Flash bank are performed in the order generated by the ARM966-ES core.This ensures that writes are committed to the Flash memory before any subsequent read. This will not be fixed in future silicon revisions. 		2.1 Flash memory status register bit 7 			ST
STR91xFA	Description of limitation At power up, the Flash protection level 1 register is reset to 0FFFh (all Flash sectors are protected). A warm reset does not reset the register. 	ARM9				 Firmware must change the values if desired. This will not be fixed in future silicon revisions. 		2.2 Flash memory sector protection 			ST
STR91xFA	Description of limitation in revision G There are two independent Flash memory banks (primary and secondary) that allow read-while-write capability from one bank to the other, enabling in-application programming (IAP) of the primary bank while executing code from the secondary bank. After IAP has upgraded firmware in the primary bank, the bootloader code in the secondary bank should remap the banks by writing to FMI registers FMI_BBADR and FMI_NBBADR in order to have the primary bank start at address 0x0, which allows interrupt handlers to reside in the application code primary bank instead of interrupts being handled by bootloader code in the secondary bank. There are two forms of reset in the STR91xFA: A global reset (from power-up or voltage drop-out) that clears all functions in the device, and a system reset (from the reset input pin, watchdog, or JTAG reset command) that clears all but a few configuration registers. 4/16  STR91xFA Silicon limitations and fixes Silicon limitation The remapping operation is possible. However, when a system reset occurs after the remapping, the application hangs because the FMI_BBADR and FMI_NBBADR registers which define bank locations are not cleared by the system reset, while the FMI_CR register which controls the chip select enable of the non boot bank are cleared by the system reset. 	ARM9				 using revision G Do not remap the banks after IAP (keep secondary bank at address 0x0), and in the secondary bank redirect ARM interrupts to be handled in the primary bank. This limitation is fixed in revision H devices by clearing all FMI registers (including bank base address and bank size) after a system reset. 		2.3 Flash memory remapping 			ST
STR91xFA	Description of limitation In either of the following two conditions, the CPU may freeze or generate an exception: 1. When the two banks (Bank0 and Bank1) are configured at contiguous addresses in the STR91xFA address map and if a code sequence is stored and then fetched by the CPU across this boundary, 2. When data is read from a bank other than the bank fetched by the CPU for execution. This will not be fixed in future silicon revisions. 	ARM9				s For the first case, three workarounds are proposed: 1. Do not use the last 8 x 32-bit words of a Flash bank for storing code and use it instead to store data constants (this can be configured by the linker to specify the last zone). 2. If the application firmware is larger than one bank in size, ensure that before reaching the last 8 x 32-bit words of one bank, application code must jump (using LDR, or a branch) to an address forced by the linker to a location in the other bank. 3. Disable the PFQ block before executing code stored across a bank boundary. For the second case, the workaround is as follows: Disable the PFQ block before reading (data/constants) from a bank other than the bank from which code is fetched and enable it again after completing the read operations.  5/16 Silicon limitations and fixes STR91xFA 		2.4 Flash fetch/read across banks 			ST
STR91xFA	Description of limitation When programming the internal Flash or the Flash registers with an FMICLK frequency of 96 MHz, either using read-while-write operations or executing from the internal SRAM, for some STR91xFA slow parts that may be seen in the field, some data are not properly written. This issue is due to a limitation in the Flash command interface that affects Flash write operations (such as program or erase). 	ARM9				 To ensure that internal Flash programming and CUI registers (command user interface) programmings are performed correctly, configure the frequency of FMICLK to RCLK/2 during these operations. 		2.5 Flash frequency limitation when programming 			ST
STR91xFA	Description of limitation By default, the ETM9 interface in the STR91xFA core is an 8-bit medium size model as defined by ARM Ltd. When an emulator tool boots up and performs an automatic configuration on the ETM (ETM sniffers), the configuration register always sends back the 8-bit model status. However, in order to reduce the number of I/O pins required for debugging, the ETM trace data port is implemented as a 4-bit port. When polled, the 8-bit status provided by the configuration register is incorrect. 	ARM9				 When booting up an emulator, do not select the automatic configuration option. Instead, configure the ETM to be a 4-bit port manually. This limitation will not be fixed in future silicon revisions. 		2.6 ETM (embedded trace module) configuration 			ST
STR91xFA	Description of limitation When the EMI clock is configured with a ratio of 2, modifying SCU_CLKCNTR register may cause incorrect EMI write cycles to occur when the EMI is used. This is due to the de-synchronization of the two clock state machines feeding the EMI when the EMI clock ratio is configured with a ratio of 2. 	ARM9				 Whenever the SCU_CLKCNTR register is modified, the EMI must be subsequently reset by writing bit 6 (RST_EMI) of the SCU_PRR0 register to 0 and setting it again just before configuring and using the EMI. 6/16  STR91xFA Silicon limitations and fixes 2.7.2 Address boundary limitation in 16-bit asynchronous or synchronous modes Description of limitation When accessing the external memory in 16-bit mode, the address must always be aligned to half word (16 bit) or word (32 bit) boundary. The memory address must consequently be an even address, and reading or writing from/to an odd address location may result in incorrect data. This limitation applies to data memory space only, as code fetch is always aligned to word boundary. Workaround All data must be stored at even address location. 2.7.3 Write signal configuration in 16-bit synchronous mode Description of limitation (applies only to BGA144 devices) There are two sets of write control signals for 16-bit write bus cycle: 1. EMI_WRLn, EMI_WRHn 2. EMI_WEn, EMI_UBn, EMI_LBn The 2nd set of signals is activated by setting bit 2 in the SCU_GPIOEMI register. When configured in 16-bit synchronous mode, the EMI bus works only with the 2nd set of write signals. The 1st set of signal results in incorrect write signal timings. Workaround When using EMI in 16-bit synchronous mode, choose a memory device which accepts write enable (EMI_WEn), EMI_UBn and EMI_LBn signals. If these signals are not available on the memory, it is recommended to operate in asynchronous mode. 		2.7 EMI bus limitations 2.7.1 Impact of SCU_CLKCNTR register modification on EMI operation with clock ratio of 2 			ST
STR91xFA	Description of limitation When the STR91xFA enters Sleep mode, the current drawn from the CPU core voltage (VDD) and from the I/O supply voltage (VDDQ) should drop to a very low value. ISLEEP current on VDD pins correctly drops to as low as 50 ÂµA at 25 Â°C. However ISLEEP current on the VDDQ pins drops to around 500 ÂµA at 25 Â°C while it should be less than 10 ÂµA. 	ARM9				 using revision G A limited workaround may be implemented to save around 120 ÂµA by using firmware to put the USB transceiver into Suspend mode (bit2, LP_MODE in the USB_CNTR register). This allows reducing Sleep mode current on VDDQ pins to around 380 ÂµA.  7/16 Silicon limitations and fixes STR91xFA Sleep mode current consumption on VDDQ pins is reduced to less than 10 ÂµA on revision H silicon devices. 		2.8 Sleep mode current (ISLEEP) on VDDQ pins 			ST
STR91xFA	Description of limitation After the CPU enters sleep mode, it can be woken up by: 1. External interrupt 2. RTC/USB interrupt 3. External reset When an oscillator chip is used as the clock source for the STR91xFA, the CPU wakes up from sleep mode following any of the above three input events. If a crystal is used as the clock source, the crystal is disabled in sleep mode to save power consumption. When a wakeup event occurs, the crystal does not recover fast enough and the CPU hangs. 	ARM9				s Workaround solutions include: 1. Use the 32 kHz RTC clock as the clock source for sleep mode: a) Select the RTC clock as the CPU clock source prior entering sleep mode. b) The CPU wakes up following any of the three wakeup events and waits for the crystal to start oscillation. A crystal startup time is about 1.5 ms typical. c) After the crystal wakes up, the CPU waits for a tWAIT time before the first code is fetched from Flash memory. The software can then change the CPU clock source back to the OSC or PLL clock. The duration of tWAIT depends on the crystal frequency. tWAIT equals 50 Âµs at 25 MHz and 312 Âµs at 4 MHz. 2. Instead of a crystal, use an oscillator as STR91xFA clock source. This limitation will not be fixed in future silicon revisions 		2.9 Waking up from sleep mode 			ST
STR91xFA	Description of limitation Once the idle or sleep mode are entered by writing the PWR_MODE[2:0] bits in the SCU_PWRMNG register, it takes about 12 fOSC cycles for the device to stop the execution. In addition, if a wakeup event or an interrupt (external or internal coming from peripherals) occurs during this period while entering idle, the internal low power state machine is frozen and the STR91xFA hangs. In this case, only a reset event can wake up the device. 8/16  STR91xFA Silicon limitations and fixes 	ARM9				s In order to avoid executing any valid instructions after setting the idle or sleep bit and before entering the mode, it is mandatory to execute a certain number of dummy instructions after setting the SCU_PWRMNG register. The number of dummy instructions to be executed is given by the following formula: No_dummy_instr = (f â f ) Ã 12 CPUCLK OSC Where fCPUCLK is the CPU core clock frequency and fOSC is the oscillator frequency. The worst scenario is obtained when the core works from the PLL maximum frequency (96 MHz) with an 4 MHz crystal or oscillator connected to the X1_CPU input. In this case 288 dummy instructions are needed. Note: If (fCPUCLK/ fOSC) is less than 1, the number of dummy instruction is always 3. Random external/internal wakeup events or interrupts may freeze the STR91xFA when occurring during the execution of these dummy instructions. In this case, only a reset event can wake up the CPU. This limitation will not be fixed in future silicon revisions 2.10.2 Time required to enter sleep mode Description of limitation After the mode bit is set in the SCU_PWRMNG register, the power management unit requires a period of time (tSLEEP) to switch off all CPU and peripheral clocks safely before entering sleep mode. A very slow peripheral clock results in a long switch off time. The tSLEEP time required to enter sleep mode depends on the oscillator frequency, on the slowest peripheral clock frequency, and on the CPU clock frequency. If a wakeup event occurs during tSLEEP, it is ignored and the STR91xFA does not exit from sleep mode. tSLEEP is given by the following formula: t = 17 Ã t_OSC + 14 Ã t_Slowest_IP_CLK + 6 Ã t_CPUCLK SLEEP Where t_OSC is the oscillator frequency, t_Slowest_IP_CLK the slowest peripheral clock frequency, and t_CPUCLK the CPU clock frequency. Example â CPU running on RTC clock before entering sleep mode (fCPUCLK = 32 kHz) (see Section 2.9). â t_OSC = 40 ns (fOSC = 25 MHz) â t_CPUCLK = t_RTC = 31,250 ns (fCPUCLK = 32 kHz) â t_Slowest_IP_CLK = 2*31,250 ns assuming all clock dividers are set to 1 (default state) except for APB clock divided which is set to 2, the slowest peripheral clock frequency is then fCPUCLK/2. Then, the value of tSLEEP is: t = 17 Ã 40 + 14 Ã 2 Ã 31, 250 + 6 Ã 31, 250 1.06 â¼ ms SLEEP  9/16 Silicon limitations and fixes STR91xFA Workaround To prevent random external wakeup events from occurring while the device is entering sleep mode (during tSLEEP), the maximum time required by the application to enter sleep mode must be taken into account. This limitation will not be fixed in future silicon revisions. 		2.10 Sleep and Idle mode requirements 2.10.1 Code execution after setting the sleep or idle mode bit 			ST
STR91xFA	Description of limitation None of the STR9 general inputs have hysteresis which means they have no Schmitt trigger. Simulation in typical conditions (3.3 V, ambient temperature, typical processing) shows that approximately 25 mV noise is enough to provide unexpected glitches in the core when the 1 kHz pad signaling crosses the input buffer threshold. The slower the input signaling frequency is, the greater this limitation. 	ARM9				s Some possible software workarounds can be implemented depending on the application and the impact of the limitation. A hardware workaround, feasible in all cases, is to implement an external Schmitt trigger to act as a noise filter. 		2.11 Noise sensitivity of GPIO ports 			ST
STR91xFA	Description of limitation A high leakage current is observed when applying 5.5 V on 5 V-tolerant I/O pins. This leakage does not dependent on VDDQ, and increases with the temperature. This high leakage is distributed between the different pins when using a 5.5 V supply voltage. If the application hardware has 10 pins connected to 5.5 V, the leakage current is not multiplied by 10, but distributed between the 10 pins. This limitation will not be fixed in future silicon revisions. 	ARM9				 Limit the voltage applied to the 5 V-tolerant I/O pins to 5 V to limit the leakage current. 10/16  STR91xFA Silicon limitations and fixes 		2.12 High leakage on GPIO ports at 5.5 V 			ST
STR91xFA	Description of limitation The ADC generates an end of conversion (EVC) or an analog watchdog (AWD) interrupt when enabled. Before returning from serving the interrupt, the ISR typically clears the interrupt by setting the corresponding EVC or AWD flag bit in the ADC_CR register to â0â. The ADC clock is used to clear the interrupt flags. The time taken to clear the flags is longer when the ADC runs on a slow clock. The CPU may return from ISR before the interrupt flag has been cleared. Since the interrupt controller input is level sensitive, the CPU sees immediately if another interrupt is pending. 	ARM9				 Instead of clearing the ADC interrupt flag at the end of the ISR, clear the flag when ISR is entered. This limitation will not be fixed in future silicon revisions. 		2.13 ADC interrupt generation 			ST
