Revisions Impacted	Manufacturer	Chip	Details	Workaround	Failure	Fix Status	Core
	 NXP	 	 :    Unaligned access to AIPS can be driven high by SAHARA, DAP, and FEC. If they access the AIPS    internal registers during an unaligned access, an ABORT occurs.     Projected ImpactJEEHEHRECONSTRUCT:    Unaligned accesses to the AIPS internal registers fail.    	 :    Make only aligned accesses to the AIPS internal registers.    	 11136      AIPS: Unaligned access causes abort on writes to the internal registers    	 :    No fix scheduled    	 Cortex-A8
	 NXP	 	 :    If a sequence of load and store operations are performed to different address locations in a memory region that is marked as shared device, then a load can incorrectly bypass a store.    The issue is reported by ARM, erratum ID 709718, Category 21.     Projected ImpactJEEHEHRECONSTRUCT:    If the load address and store address are mapped to access the memory region of the same device, and the device relies on memory operations to occur in program order, then this device may not operate as intended.    	 :    The erratum occurs only for the shared device memory regions and not for the non-shared device memory regions. Therefore, this problem can be worked around by using the remap registers to remap all the shared device transactions to the non-shared device. The only difference between the shared device and the non-shared device is the attributes produced for the transaction on the AXI interface. Therefore, the user does not experience any impact in terms of performance from this workaround.    Another possible use of the TEX remap is to map the shared device regions to the strongly ordered transactions. This second remapping option is less desirable as it affects the performance, as strongly ordered transactions are not buffered.    The following code sequence is required to setup and enable the TEX remap. This should be done before enabling the MMU.    ; Setup PRRR so device is always mapped to non-shared    MRC p15, 0, r0, c10, c2, 0; Read Primary Region Remap Register BIC r0,#3<<16    MCR p15, 0, r0, c10, c2, 0; Write Primary Region Remap Register    ; Enable TEX remap    MRC p15, 0, r0, c1, c0, 0; Read Control Register    ORR r0,r0,#1<<28    MCR p15, 0, r0, c1, c0, 0; Write Control Register    Another valid workaround is to place a data memory barrier (DMB) between all the memory accesses to the device regions, where ordering is required between a store and a subsequent load to a different physical address.    	 09831      ARM: Load and Store operations on the shared device memory regions may not complete in program order    	 :    No fix scheduled    1. Category 2 defined as: Behavior that contravenes the specified behavior and that can limit or severely impair the intended use of specified features, but does not render the product unusable in all or the majority of applications.    Chip Errata for the i.MX53, Rev. 6    Freescale Semiconductor    9	 Cortex-A8
	 NXP	 	 :    Under certain conditions, a sequence of instructions where an MCR instruction that writes a CP15    register is closely followed by an MRC that reads the same register, are executed such that the RAW hazard is not detected and the MRC reads the old value of the register. This scenario can only occur for accesses to one of the following four CP15 registers:    â¢ CacheSizeSelection Register    â¢ Thread and ProcessID user read/write    â¢ Thread and ProcessID user read only    â¢ Thread and ProcessID privilege only    These registers are both readable and writable and have been optimized to execute in a single cycle.    Furthermore, this scenario occurs only when a specific sequence of instructions is executed between the MCR and the MRC. The sequence must meet two criteria:    â¢ It must take less than three cycles to execute    â¢ It must have one of the instructions in the following list:    â ARM PLD with [Rn, -Rm, <shift>] addressing mode    â ARM or Thumb PLD with [Rn, Rm,<shift>] addressing mode (unless it is LSL #0 or LSL #2)    â Thumb or ThumbEE load/store instruction with [Rn, Rm,<shift>] addressing mode (unless it is LSL #0 or LSL #2)    â Thumb TBB instruction    The issue is reported by ARM, erratum ID 588115, Category 31.     Projected ImpactJEEHEHRECONSTRUCT:    If this erratum is encountered, the old stale value of the register is read rather than the newly written value, in which case the system software may appear to behave incorrectly. However, the usage model for such a software sequence is unclear, and hence the likelihood of encountering it in practice is very low, especially considering the requirement of the second unrelated instruction that must also fall between the MCR and the MRC.    	 :    If a workaround for this erratum is desired, there are two options. The first simple option is to add a NOP immediately following the MCR register write in any case where encountering this erratum may be a concern. By adding a single NOP, the minimum required cycle window is guaranteed and the erratum does not occur.    The second option is to set bit 16 in the CP15 Auxiliary Control Register. This causes a pipeline flush on every write to the CP15 register and ensures that the RAW hazard condition does not 1. Category 3 defined as: Behavior that is not the originally intended behavior but should not cause any problems in applications.    Chip Errata for the i.MX53, Rev. 6    Freescale Semiconductor    11	 11132      ARM: A RAW hazard on certain CP15 registers can result in a stale register read    		 Cortex-A8
	 NXP	 	 :      All memory transactions performed as part of a tablewalk should be considered Privileged, even in the User mode. However, Cortex-A8 incorrectly marks memory transactions generated from tablewalks performed in User mode as the user transactions on the AXI bus. This indication is given by the ARPROT[0] signal, which is set to zero during the transaction.    The conditions are as follows:    â¢ Cortex-A8 must be in user mode    â¢ A memory transaction (instruction or data) misses in the TLB and causes a tablewalk    â¢ The address for the page table entry is not found in the L2 cache, resulting in an external memory request    â¢ This erratum occurs when APROT[0] incorrectly indicates a user transaction for this memory    request on the AXI bus.    The issue is reported by ARM, erratum ID 488063.     Projected ImpactJEEHEHRECONSTRUCT:    As the values broadcast on ARPROT[0] are completely transparent to the software, the implications for this erratum are only on a specific subset of the processor systems, specifically for a system that includes some form of system level memory protection unit, that uses the ARPROT    bits to determine if a memory request can be allowed. For any system that does include such a unit, that unit may report false errors on page table accesses due to this erratum.    	 :    As the processor directly does not make use of ARPROT[0], any workaround would be specific to the device that makes use of the values broadcast on ARPROT[0]. The most likely usage would be some form of system memory protection unit. If such protection unit exists, it may need to filter out any access to the page tables from the address space that is protected to operate properly. This implies that the external protection unit cannot provide additional protection for the page tables.    For example, the page table cannot be inserted in a Secure RAM which cannot be accessed in User mode, as in this case, an additional protection is added beside the MMU. Alternatively, the CSU    can be configured to transform User access to Privileged on addresses used by PAGE TABLE.    	 11141      ARM: ARPROT[0] is incorrectly set to indicate a USER    transaction for memory accesses generated from user12SPACEJEEHEHtablewalks      	 :    No fix scheduled    	 Cortex-A8
	 NXP	 	 :    ARMv7 architecture specifies that the CSSELR should be banked between Secure and Non-secure states. Cortex-A8 does not currently bank this register.    The conditions are as follows:    â¢ The system should have an active process in secure state and an active process in non-secure state at the same time.    â¢ The system should perform cache maintenance operations in both secure and non-secure processes.    The issue is reported by ARM, erratum ID 485963, Category 21.     Projected ImpactJEEHEHRECONSTRUCT:    A cache cleaning sequence that reads the CSSELR may not work as expected. The published sequence for cleaning the entire cache (see ARM Architecture Reference Manual) includes setting the CSSELR followed by a read from the selected Cache Size ID register (CCSIDR). If the non-secure side executes this sequence, and is encountered by a secure interrupt between the setting of the CSSELR and the reading of the selected CCSIDR, then there is a possibility that the secure side may also use the CSSELR. On returning to the non-secure side, the CSSELR value may have changed, which makes the cache cleaning sequence to malfunction. Similarly, a non-secure interrupt can cause a secure cache cleaning sequence to malfunction.    	 :    When transitioning security state, the secure monitor software should save the current CSSELR    value (corresponding to the security state the processor is transitioning out of) and restore the previously saved CSSELR value (corresponding to the security state the processor is transitioning into).    	 11135      ARM: C15 Cache Selection Register (CSSELR) is not banked 	 :    No fix scheduled    	 Cortex-A8
	 NXP	 	 :    When a Clean to Point of Coherency (PoC) by MVA operation is performed, or the Preload Engine is programmed to clean a region of memory from the L2 cache, a cache line from that region can be corrupted with a stale copy of memory, and a memory store operation is lost.    The conditions are as follows:    â¢ A Cache Clean by MVA to the PoC instruction is executed to clean cache line A, or the preload engine is configured to clean a memory region which includes cache line A. Either of the operations result in the placement of cache line A into a victim buffer for writeback to external memory. It also keeps the line still valid in the L2 cache.    â¢ A memory store operation is performed to the same cache line A that is evicted by the cache    clean operation. This operation results in a modification of cache line A in the L2 cache (but not    to the copy of the line that may still remain in the victim buffer if memory response is slow).    â¢ A cache eviction is done of cache line A due to an unrelated memory request to load cache line B. The modified copy of cache line A is placed in a victim buffer. At this point, the two victim buffers may contain two different versions of cache line A. As each victim buffer uses a different AXI ID and arbitrates independently for the AXI bus, there is no guarantee for the order in which the memory updates occur, and the store operation may be overwritten by the cache clean operation, leaving the external memory with stale contents.    The issue is reported by ARM, erratum ID 586323, Category 21.     Projected ImpactJEEHEHRECONSTRUCT:    If the operation sequence occurs as described above, one or more store operations are lost, resulting in incorrect program behavior. This can occur for any application which either uses the preload engine to clean a memory region, or uses Clean by MVA to PoC maintenance operations to clean a region of memory.    	 :    There are two feasible workarounds that can be used for this erratum. The first workaround is to place a DMB or DSB barrier at the end of each cache clean routine or preload engine memory clean sequence. This barrier operation ensures that the cleaned line goes out and is seen by main memory before the store is executed and therefore guarantees that the clean is done correctly and memory contains the correct final value.    This workaround is consistent with the ARM recommended practice for ending the maintenance routine. The above workaround is convenient to implement and should work for all expected usage models. However, there is still the possibility that an interrupt can be taken during the clean routine, and the interrupt handler can perform a store operation to the line just cleaned, allowing for the scenario which can lead to the erratum.    1. Category 2 defined as: Behavior that contravenes the specified behavior and that can limit or severely impair the intended use of specified features, but does not render the product unusable in all or the majority of applications.    Chip Errata for the i.MX53, Rev. 6    16    Freescale Semiconductor11143      Another workaround that avoids even the case mentioned above, is to convert all Clean by MVA to PoC operations to Clean and Invalidate by MVA to PoC as described in the code sequence as follows:    â¢ Replace all uses of: MCR p15, 0, <Rn>, c7, c10, 1;    â¢ Clean Data cache line by MVA to PoC with this instruction: MCR p15, 0, <Rn>, c7, c14, 1;    â¢ Clean and Invalidate cache line by MVA to PoC.    There is no Preload Engine equivalent for the second workaround option as it is not possible to configure the preload engine to perform a clean and invalidate operation. Therefore, if there are concerns that the DSB based workaround is insufficient, then it is advisable to not use the Preload Engine for cleaning memory regions. The preload engine can be configured such that it is not accessible at user/privilege and nonsecure/secure level of granularity.    For more information on Preload Engine configurability, see Cortex-A8 Technical Reference Manual.    	 11143      ARM: Cache clean memory ops generated by the Preload Engine or Clean by MVA to PoC instructions may corrupt the memory 	 :    No fix scheduled    	 Cortex-A8
	 NXP	 	 :    If a non-cacheable memory request is subsequently followed by any cache maintenance operation done by MVA, then the memory can be corrupted.    The conditions are as follows:    â¢ The L1 data cache must be of size 32 Kbyte    â¢ The L1 data cache hardware alias checks are enabled (the L1ALIAS bit in the Auxiliary Control Register is set to 0)    â¢ The virtual memory management used by the operating system does not follow the page coloring guidelines and allows virtual to physical address alias cases to exist on bit 12 of the address    â¢ A non-cacheable memory request to normal, device, or strongly ordered memory is subsequently followed by a cache maintenance operation done by MVA without any cacheable memory operations executed in between. The non-cacheable memory request can be fully executed, or can be a speculative instruction in the branch shadow that subsequently is flushed.    When the above conditions are met and the cache maintenance operation is performed to generate a hash alias scenario on its cache lookup, memory corruption or a false parity error can occur.    The issue is reported by ARM, erratum ID 586324, Category 21.     Projected ImpactJEEHEHRECONSTRUCT:    If the operation sequence occurs as described above, then memory can be corrupted or a false parity error can be generated. In addition, even if the workaround as described below is implemented, it is possible that a nonsecure maintenance operation could result in the invalidation of a secure memory location. Therefore, this could possibly be viewed as an avenue for a security attack.    However, the contents of secure memory cannot be viewed as a direct result of this erratum and the lack of consistent repeatability makes it very difficult for the user to make use of this erratum as a security attack.    	 :    If full PIPT caching support is not required by the operating system, or the processor includes a 16 Kbyte L1 data cache, then no workaround is required. If alias conditions can occur, then the workaround is to guarantee that a cache maintenance operation is not immediately preceded by a non-cacheable memory request. This is guaranteed by initiating every cache maintenance by MVA routine with a cacheable load or store request immediately preceding the main loop and ending with a DSB barrier operation at the end of the loop. The load or store that precedes the loop can be done to any cacheable memory location. In addition, both interrupts and aborts should be masked during the cache maintenance routine. Interrupt masking is required to prevent a non-cacheable memory request, either fully executed or in a branch shadow, from initiating the sequence that can 1. Category 2 defined as: Behavior that contravenes the specified behavior and that can limit or severely impair the intended use of specified features, but does not render the product unusable in all or the majority of applications.    Chip Errata for the i.MX53, Rev. 6    18    Freescale Semiconductor11145      result in this erratum. If there are concerns about the interrupt latency, the maintenance loop can be amended to enable and disable the interrupts directly around the maintenance operation. This impacts the time taken to complete the maintenance loop.    To workaround any concerns of a potential security attack due to this erratum, all secure memory should be marked as inner write through. This can be done either by using the caching attributes in the page tables for all secure page tables or by making use of the secure banked version of the remap registers. Apart from making all secure memory write through, a routine should be run out of reset to completely fill the cache with dummy data, to prevent invalid, uninitialized data in the cache from being written out to memory and potentially corrupting secure memory. Making all secure memory inner write through guarantees that even if the invalidation of a secure line in the L1 cache occurs due to this erratum, the correct data is not lost.    	 11145      ARM: Under a specific set of conditions, a cache maintenance operation performed by MVA can result in memory corruption 	 :    No fix scheduled    	 Cortex-A8
	 NXP	 	 :    When a Clean to Point of Coherency or Clean and Invalidate to Point of Coherency by MVA operation is performed, it is possible that the line remains present in the L2 cache and any dirty data is not pushed out on to the AXI bus to main memory. This can occur whenever the requested address is present in the L1 cache but not the L2 cache.    The conditions are as follows:    â¢ The memory region being cleaned is configured in write allocate mode    â¢ The cache line being cleaned is initially present in the L1 cache and not in the L2 cache The issue is reported by ARM, erratum ID 586320, Category 21.     Projected ImpactJEEHEHRECONSTRUCT:    If a Clean or Clean and Invalidate operation does not operate as intended, and leaves the data present in the L2 cache, the memory coherency in the system can no longer be guaranteed.    Therefore, this erratum impacts any code sequence used to maintain the system coherence.    	 :    The software workaround for this erratum is to disable the write allocate in the L2 cache, as shown in the following instruction sequence:    MRC p15, 1, <Rd>, c9, c0, 2; read L2 cache Aux Ctrl Reg ORR <Rd>, <Rd>, #(1 << 22); set the Write Allocate disable bit MCR p15, 1, <Rd>, c9, c0, 2; write the L2 cache Aux Ctrl Reg Disabling the write allocate in the L2 cache can impact the performance of some applications. If this performance impact is deemed to be very high, there are two other software workarounds that can be used. The first is to disable write allocate around each sequence of clean by MVA to PoC    or clean/invalidate by MVA to PoC instructions, as shown in the following instruction sequence: MRC p15, 1, <Rd>, c9, c0, 2; read L2 cache Aux Ctrl Reg ORR <Rd>, <Rd>, #(1 << 22); set the Write Allocate disable bit MCR p15, 1, <Rd>, c9, c0, 2; write the L2 cache Aux Ctrl Reg    <perform sequence of MVA operations here>    MRC p15, 1, <Rd>, c9, c0, 2; read L2 cache Aux Ctrl Reg BIC <Rd>, <Rd>, #(1 << 22); clear the Write Allocate disable bit MCR p15, 1, <Rd>, c9, c0, 2; write the L2 cache Aux Ctrl Reg The final workaround that can be implemented is to perform each maintenance operation twice with interrupts disabled. By performing the operation twice in back-to-back successions with no other memory operations executed in between, it can be assured that the line is evicted from both L1 and L2 cache and written out to main memory.    1. Category 2 defined as: Behavior that contravenes the specified behavior and that can limit or severely impair the intended use of specified features, but does not render the product unusable in all or the majority of applications.    Chip Errata for the i.MX53, Rev. 6    20    Freescale Semiconductor11142      Perform the following steps:      1. Disable the interrupts and the imprecise aborts    2. Execute the maintenance operation first pass    3. Execute the same maintenance operation, second pass    4. Enable the interrupts and the imprecise aborts    Repeat the above sequence for each cache maintenance operation. Interrupts can remain disabled for a longer sequence of maintenance operations, but this has a negative effect on interrupt latency.    This workaround has a performance impact on the execution time of cache maintenance operations.    	 11142      ARM: Clean and Clean/Invalidate maintenance ops by MVA to PoC may not push data to external memory    	 :    No fix scheduled    	 Cortex-A8
	 NXP	 	 :      Under specific set of conditions, the stale data saved in the L2 cache can be erroneously returned to the processor on a subsequent load instruction.    The conditions are as follows:    â¢ The L2 cache must be configured as an inner cache rather than as an outer cache    â¢ The L2 cache must be configured to use write allocate memory type The issue is reported by ARM, erratum ID 468413, Category 21.     Projected ImpactJEEHEHRECONSTRUCT:    If this erratum occurs, stale data can be read by a subsequent load instruction, resulting in an incorrect program behavior.    	 :    There are two viable workarounds for this erratum. One workaround is, not to configure the L2    cache as an inner cache, but maintain the default setting as an outer cache. The second workaround is to use the remap registers to remap the inner cache attributes from write allocate to write back instead.    	 11146      ARM: Incorrect L2 cache eviction can occur when L2 is12SPACEJEEHEHconfigured as an inner cache      	 :    No fix scheduled    	 Cortex-A8
	 NXP	 	 :    Three memory requests in the L2 cache can interact and result in a deadlock condition. The exact scenario involves a dependency chain of three requests, an instruction fetch request, a memory preload instruction (PLD) and a swap instruction (SWP). In this dependency loop, no request can progress as each one of them is dependent on the next request. That is, the PLD request cannot complete as the IF request is pending to use the BIU. The IF request cannot complete because of the pending SWP request, and the SWP request is not allowed to complete as it is waiting on the PLD to complete before obtaining the lock on the bus.    The conditions are as follows:    â¢ PLD instructions must be used by the processor    â¢ SWP instructions must be used by the processor    The issue is reported by ARM, erratum ID 468415, Category 31.     Projected ImpactJEEHEHRECONSTRUCT:    This erratum only impacts the users of swap instructions. Swap instructions have been deprecated from the ARMv7 version of the ARM Architecture as its functional use in terms of setting up semaphores is now replaced from the ARMv6 architecture forwards by the LDREX and STREX    instructions. If this erratum is encountered and the processor deadlock occurs, it can only be interrupted by resetting the processor.    	 :    One software workaround for this erratum is, not to use the swap instructions. If swap instructions are to be used in the code base, the other software workaround is to disable the PLD instructions and make them a NOP. The code required to implement this workaround is as follows: MRC p15, 0, r0, c1, c0, 1; read register    ORR r0, r0, #(1<<9); PLDNOP - force PLD to be NOP    MCR p15, 0, r0, c1, c0, 1; write register    This workaround has some performance impact on the peak memory copy bandwidth.    	 11144      ARM: Swap instruction, preload instruction, and instruction fetch request can interact and cause deadlock    	 :    No fix scheduled    	 Cortex-A8
